category,url,product_count
게임,https://www.yes24.com/product/category/display/001001003027,1641
그래픽/디자인/멀티미디어,https://www.yes24.com/product/category/display/001001003028,6865
네트워크/해킹/보안,https://www.yes24.com/product/category/display/001001003024,2539
모바일 프로그래밍,https://www.yes24.com/product/category/display/001001003023,964
모바일/태블릿/SNS,https://www.yes24.com/product/category/display/001001003021,867
오피스 활용,https://www.yes24.com/product/category/display/001001003029,3486
웹사이트,https://www.yes24.com/product/category/display/001001003020,2393
인공지능,https://www.yes24.com/product/category/display/001001003032,3064
인터넷 비즈니스,https://www.yes24.com/product/category/display/001001003026,1207
컴퓨터 공학,https://www.yes24.com/product/category/display/001001003031,7700
컴퓨터 수험서,https://www.yes24.com/product/category/display/001001003030,5889
컴퓨터 입문/활용,https://www.yes24.com/product/category/display/001001003019,4206
프로그래밍 언어,https://www.yes24.com/product/category/display/001001003022,7808
OS/데이터베이스,https://www.yes24.com/product/category/display/001001003025,3391
